SDAccel Timeline Trace
Generated on: 2019-09-15 22:10:17
Msec since Epoch: 1568585417819
Profiled application: smith_waterman_3.exe
Target platform: Xilinx
Tool version: 2018.3


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
51.474762,clGetPlatformIDs|General,START,,,,,,,,,,,0,
51.523359,clGetPlatformIDs|General,END,,,,,,,,,,,0,
51.530986,clGetPlatformIDs|General,START,,,,,,,,,,,1,
51.535046,clGetPlatformIDs|General,END,,,,,,,,,,,1,
51.545128,clGetPlatformInfo|General,START,,,,,,,,,,,2,
51.549906,clGetPlatformInfo|General,END,,,,,,,,,,,2,
51.556438,clGetPlatformInfo|General,START,,,,,,,,,,,3,
51.560286,clGetPlatformInfo|General,END,,,,,,,,,,,3,
51.592901,clGetDeviceIDs|General,START,,,,,,,,,,,4,
51.603108,clGetDeviceIDs|General,END,,,,,,,,,,,4,
51.608198,clGetDeviceIDs|General,START,,,,,,,,,,,5,
51.612039,clGetDeviceIDs|General,END,,,,,,,,,,,5,
51.618387,clRetainDevice|General,START,,,,,,,,,,,6,
51.623931,clRetainDevice|General,END,,,,,,,,,,,6,
51.629176,clRetainDevice|General,START,,,,,,,,,,,7,
51.633271,clRetainDevice|General,END,,,,,,,,,,,7,
51.63941,clCreateContext|General,START,,,,,,,,,,,8,
51.674125,clCreateContext|General,END,,,,,,,,,,,8,
51.684276,clCreateCommandQueue|General,START,,,,,,,,,,,9,
51.693711,clCreateCommandQueue|General,END,,,,,,,,,,,9,
51.699151,clGetDeviceInfo|General,START,,,,,,,,,,,10,
51.704116,clGetDeviceInfo|General,END,,,,,,,,,,,10,
51.708547,clGetDeviceInfo|General,START,,,,,,,,,,,11,
51.715089,clGetDeviceInfo|General,END,,,,,,,,,,,11,
51.969416,clCreateProgramWithBinary|General,START,,,,,,,,,,,12,
70.256603,clCreateProgramWithBinary|General,END,,,,,,,,,,,12,
70.28971,clCreateKernel|General,START,,,,,,,,,,,13,
70.305929,clCreateKernel|General,END,,,,,,,,,,,13,
70.312685,clCreateBuffer|General,START,,,,,,,,,,,14,
70.330054,clCreateBuffer|General,END,,,,,,,,,,,14,
70.336315,clCreateBuffer|General,START,,,,,,,,,,,15,
70.34105,clCreateBuffer|General,END,,,,,,,,,,,15,
70.345115,clCreateBuffer|General,START,,,,,,,,,,,16,
70.34914,clCreateBuffer|General,END,,,,,,,,,,,16,
70.354048,clCreateBuffer|General,START,,,,,,,,,,,17,
70.358198,clCreateBuffer|General,END,,,,,,,,,,,17,
70.362103,clCreateBuffer|General,START,,,,,,,,,,,18,
70.366165,clCreateBuffer|General,END,,,,,,,,,,,18,
70.371753,clRetainMemObject|General,START,,,,,,,,,,,19,
70.378768,clRetainMemObject|General,END,,,,,,,,,,,19,
70.383213,clRetainMemObject|General,START,,,,,,,,,,,20,
70.387413,clRetainMemObject|General,END,,,,,,,,,,,20,
70.391453,clRetainMemObject|General,START,,,,,,,,,,,21,
70.395397,clRetainMemObject|General,END,,,,,,,,,,,21,
70.399299,clRetainMemObject|General,START,,,,,,,,,,,22,
70.403224,clRetainMemObject|General,END,,,,,,,,,,,22,
70.407278,clRetainMemObject|General,START,,,,,,,,,,,23,
70.411008,clRetainMemObject|General,END,,,,,,,,,,,23,
70.415996,clRetainMemObject|General,START,,,,,,,,,,,24,
70.420026,clRetainMemObject|General,END,,,,,,,,,,,24,
70.424247,clRetainMemObject|General,START,,,,,,,,,,,25,
70.428174,clRetainMemObject|General,END,,,,,,,,,,,25,
70.432398,clRetainMemObject|General,START,,,,,,,,,,,26,
70.436149,clRetainMemObject|General,END,,,,,,,,,,,26,
70.43999,clRetainMemObject|General,START,,,,,,,,,,,27,
70.443885,clRetainMemObject|General,END,,,,,,,,,,,27,
70.447828,clRetainMemObject|General,START,,,,,,,,,,,28,
70.451577,clRetainMemObject|General,END,,,,,,,,,,,28,
70.458956,clEnqueueMigrateMemObjects|11216736,START,,,,,,,,,,,29,
70.615371,WRITE_BUFFER,QUEUE,0X000000000|Unknown,3148036,,,,,,,,,
70.674064,WRITE_BUFFER,SUBMIT,0X000000000|Unknown,3148036,,,,,,,,,
70.718085,clEnqueueMigrateMemObjects|11216736,END,,,,,,,,,,,29,
70.734199,clReleaseMemObject|General,START,,,,,,,,,,,30,
70.742777,clReleaseMemObject|General,END,,,,,,,,,,,30,
70.748951,clReleaseMemObject|General,START,,,,,,,,,,,31,
70.762546,clReleaseMemObject|General,END,,,,,,,,,,,31,
70.767962,clReleaseMemObject|General,START,,,,,,,,,,,32,
70.771725,clReleaseMemObject|General,END,,,,,,,,,,,32,
70.775887,clReleaseMemObject|General,START,,,,,,,,,,,33,
70.782885,clReleaseMemObject|General,END,,,,,,,,,,,33,
70.788967,clReleaseMemObject|General,START,,,,,,,,,,,34,
70.796109,clReleaseMemObject|General,END,,,,,,,,,,,34,
70.804221,clReleaseMemObject|General,START,,,,,,,,,,,35,
70.756736,WRITE_BUFFER,START,0X000000000|Unknown|0X7F731DF59700,3148036,,,,,,,0,None,
70.811662,clReleaseMemObject|General,END,,,,,,,,,,,35,
70.870757,clReleaseMemObject|General,START,,,,,,,,,,,36,
70.877285,clReleaseMemObject|General,END,,,,,,,,,,,36,
70.883901,clReleaseMemObject|General,START,,,,,,,,,,,37,
70.889636,clReleaseMemObject|General,END,,,,,,,,,,,37,
70.895492,clReleaseMemObject|General,START,,,,,,,,,,,38,
70.90111,clReleaseMemObject|General,END,,,,,,,,,,,38,
70.906946,clReleaseMemObject|General,START,,,,,,,,,,,39,
70.912935,clReleaseMemObject|General,END,,,,,,,,,,,39,
70.922789,clSetKernelArg|General,START,,,,,,,,,,,40,
82.004523,clSetKernelArg|General,END,,,,,,,,,,,40,
82.030077,WRITE_BUFFER,END,0X000000000|Unknown|0X7F731DF59700,3148036,,,,,,,0,None,
82.042131,clSetKernelArg|General,START,,,,,,,,,,,41,
82.101866,clSetKernelArg|General,END,,,,,,,,,,,41,
82.126205,clSetKernelArg|General,START,,,,,,,,,,,42,
82.135794,clSetKernelArg|General,END,,,,,,,,,,,42,
82.141938,clSetKernelArg|General,START,,,,,,,,,,,43,
82.147946,clSetKernelArg|General,END,,,,,,,,,,,43,
82.153384,clSetKernelArg|General,START,,,,,,,,,,,44,
82.159305,clSetKernelArg|General,END,,,,,,,,,,,44,
82.172957,clEnqueueTask|11216736,START,,,,,,,,,,,45,
82.203038,DEPENDENCY_EVENT,,1,2,
82.236617,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|binary_container_1|compute_matrices|1:1:1|all,QUEUE,0XABDD90,1,,,,,,,,,
82.260023,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|binary_container_1|compute_matrices|1:1:1|all,SUBMIT,0XABDD90,1,,,,,,,,,
82.275793,KERNEL|xilinx_aws-vu9p-f1-04261818_dynamic_5_0-0|binary_container_1|compute_matrices|1:1:1|all,START,0XABDD90,1,,,,,,,2,None,
82.391456,clEnqueueTask|11216736,END,,,,,,,,,,,45,
82.409008,clRetainMemObject|General,START,,,,,,,,,,,46,
82.418127,clRetainMemObject|General,END,,,,,,,,,,,46,
82.425768,clRetainMemObject|General,START,,,,,,,,,,,47,
82.440702,clRetainMemObject|General,END,,,,,,,,,,,47,
82.449117,clRetainMemObject|General,START,,,,,,,,,,,48,
82.461643,clRetainMemObject|General,END,,,,,,,,,,,48,
